manual_id,abstract_number,abstract_type,abstract_title,url,authors,author_affiliation,abstract_text,keywords,disclosure,images,tables,date,start_time,end_time,location,category,sub_category,session_title,citation,pdf_link,doi
1,,,State of the Profession,https://www.aarc.org/aarc-meetings/summer-forum-2022/day-one.php,"Sheri Tooley, BSRT, RRT, CPFT — AARC",,,,,,,,,,,,,,,,
2,,,Using Systematic Reviews and CPGs to Create Evidence-Based Practice,https://www.aarc.org/aarc-meetings/summer-forum-2022/day-one.php,"Lynda Goodfellow, Ed.D, RRT, FAARC",,"This session will discuss the AARC’s progress in the development of Clinical Practice Guidelines. Specific topics include the methodology of systematic reviews, literature review and grading of evidence, and how these reviews can inform education, policy, and protocols in evidence-based practice.",,,,,,,,,,,,,,
3,,,Feedback Check In: What Do Our Learners Need in the Pandemic Era?,https://www.aarc.org/aarc-meetings/summer-forum-2022/day-one.php,"Lauren Driscoll, MHPE, RRT",,Have you struggled with giving students feedback recently? The transition to hybrid and online learning environments due to the COVID-19 pandemic has changed the manner of students and faculty interactions and how often they occur. It is time to reflect on how new learning environments have affected student feedback. This lecture will discuss the delivery and frequency of student feedback in different learning environments.,,,,,,,,,,,,,,
4,,,RT-Driven Protocols: How and Where Do I Begin?,https://www.aarc.org/aarc-meetings/summer-forum-2022/day-one.php,"Amanda Nickel, MSc, RRT",,"Evidence-based medicine is becoming the gold standard of health care. In a constantly evolving climate, respiratory therapists must continue to prove their value to the multidisciplinary team. To improve patient safety, decrease health care costs, and improve efficiency, many facilities are looking toward protocols as a solution. Respiratory-driven protocols and pathways have been implemented at institutions throughout the country, but the process can be tedious and resource-intensive.",,,,,,,,,,,,,,
5,,,Exhibits Break,https://www.aarc.org/aarc-meetings/summer-forum-2022/day-one.php,,,,,,,,,,,,,,,,,
6,,,Implementing a Journal Club to Advance Respiratory Care Practice,https://www.aarc.org/aarc-meetings/summer-forum-2022/day-one.php,"Julie Jackson, BAS, RRT, RRT-ACCS",,"Evidence-based practice has been the focus of respiratory care medicine the last couple of decades. Implementation of Journal clubs within a respiratory care department is an effective and efficient means to teach critical appraisal of the literature, remain current with the literature, maintain competence in evidence-based practice and advance the practice of respiratory care. Leaders will learn the value of the implementation and sustainability of a Journal Club.",,,,,,,,,,,,,,
7,,,Engaging the Learner: Effective Teaching/ Learning Strategies Employed During COVID-19,https://www.aarc.org/aarc-meetings/summer-forum-2022/day-one.php,,,Utilizing gamification in the classroom setting can be an interactive and fun way to engage students and review content.,,,,,,,,,,,,,,
8,,,Value Efficiency: Pivoting our Value Proposition from Busyness to Effectiveness,https://www.aarc.org/aarc-meetings/summer-forum-2022/day-one.php,"Garry Kauffman, RRT, MPA, FACHE",,"Our profession had its roots in a time where fee-for-service was the primary methodology. The more procedures we performed, the greater the reimbursement for the hospital. As reimbursement changed to a capitated model, our value proposition continued to be seen by many stakeholders as still mired in the “tasks completed” rather than “outcomes achieved” model. The introduction of Value Efficiency in the AARC Safe and Effective Guide and published in Respiratory Care in 2021 was the first step in forging a new value proposition for our profession. This interactive presentation will provide both a reinforcement of the principles of Value Efficiency as well as an interactive session. It will also show how to measure the Value Efficiency of your services and how to engage key stakeholders to integrate this to achieve high-quality and cost-effective respiratory care services.",,,,,,,,,,,,,,
9,,,Lunch,https://www.aarc.org/aarc-meetings/summer-forum-2022/day-one.php,,,,,,,,,,,,,,,,,
10,,,Productivity Now & Then: Intermountain Healthcare’s Comparison Using the AARC “Guide”,https://www.aarc.org/aarc-meetings/summer-forum-2022/day-one.php,"David Eitel, MHA, MSRT, RRT",,"Consultants looking only at CPT coded procedures are missing the boat. Join the presenter as he shares the use of a retrospective and concurrent side-by-side analysis of productivity calculation using their organization’s current process with the use of the AARC’s Safe & Effective Staffing Guide. Learn how they convinced executive leaders, hospital administrators, productivity consultants, RT managers and front-line RT staff to participate. Come ready to truly be amazed with the productivity comparison outcomes when standardized time standards/RVUs, interventional volumes in addition to an RT value-proposition scoring grid are incorporated in productivity reporting and analysis. We can save jobs and report value. Come learn how!",,,,,,,,,,,,,,
